# lon_gridpoint [deg], lat_gridpoint [deg], P_R_modelGRS [W], P_R_modelFREND [W] 
-2.625, 49.625, 1.366429928668538e-23, 1.3627250799231276e-23 
-2.375, 49.625, 1.0187251832516017e-23, 1.0159666357001561e-23 
-2.125, 49.625, 3.0069171780624387e-24, 2.9988617629370353e-24 
-1.875, 49.625, 9.150988521442242e-24, 9.126737632292773e-24 
-1.625, 49.625, 1.0873839145663854e-23, 1.0845393592494073e-23 
-1.375, 49.625, 1.3768230198449952e-23, 1.3732496582874817e-23 
-1.125, 49.625, 1.1701434707371368e-23, 1.1671040104348405e-23 
-0.875, 49.625, 9.574710290012893e-24, 9.549819355909132e-24 
-0.625, 49.625, 8.884734126865118e-24, 8.861617851854585e-24 
-0.375, 49.625, 8.590093073402876e-24, 8.567573504714151e-24 
-0.125, 49.625, 6.3128910352530605e-24, 6.296107003417179e-24 
0.125, 49.625, 8.289511812212421e-24, 8.267164895572121e-24 
0.375, 49.625, 8.625749495666906e-24, 8.602176035481434e-24 
0.625, 49.625, 2.8633718278772724e-24, 2.8554072779651888e-24 
0.875, 49.625, 6.051635565870358e-24, 6.034578226372181e-24 
1.125, 49.625, 1.2610946788297127e-23, 1.2574933272444148e-23 
1.375, 49.625, 1.2378083142578116e-23, 1.2342275415661036e-23 
1.625, 49.625, 1.3516231937996358e-23, 1.347637405303951e-23 
1.875, 49.625, 1.4504478358146084e-23, 1.4460661090202882e-23 
2.125, 49.625, 9.89305244541142e-24, 9.862453240452398e-24 
2.375, 49.625, 8.60893791774708e-24, 8.58169023479124e-24 
2.625, 49.625, 1.8278418038963873e-23, 1.821973473956039e-23 
2.875, 49.625, 1.792628085725222e-23, 1.7869106743392872e-23 
3.125, 49.625, 4.77654524728165e-23, 4.7614118203217046e-23 
3.375, 49.625, 5.896571944319452e-23, 5.878010092535435e-23 
3.625, 49.625, 2.701578995246127e-23, 2.6931983228575144e-23 
3.875, 49.625, 5.1212560124564843e-23, 5.105808892432493e-23 
4.125, 49.625, 1.0352250964465075e-22, 1.0321914600098739e-22 
4.375, 49.625, 8.11633181419099e-23, 8.093244513708355e-23 
4.625, 49.625, 1.6201083174414008e-23, 1.6155866535182925e-23 
4.875, 49.625, 1.8337313700773347e-23, 1.828696142878975e-23 
5.125, 49.625, 1.8276020407314148e-23, 1.822666019904621e-23 
5.375, 49.625, 1.7965734911638803e-23, 1.7918022513280864e-23 
5.625, 49.625, 1.614208343510645e-23, 1.6100271701421447e-23 
5.875, 49.625, 1.2394356083443343e-23, 1.2363316106036744e-23 
6.125, 49.625, 2.0666818073224227e-24, 2.061683546197809e-24 
6.375, 49.625, 8.812914507915645e-24, 8.792357264180434e-24 
6.625, 49.625, 8.783073318070991e-24, 8.763062356105743e-24 
6.875, 49.625, 9.319667683537038e-24, 9.298854282034784e-24 
7.125, 49.625, 1.436267268298839e-23, 1.4331244305021897e-23 
7.375, 49.625, 1.535778269220325e-23, 1.5324869136183218e-23 
7.625, 49.625, 3.2727146164300183e-24, 3.2657664758806868e-24 
7.875, 49.625, 7.147462603452551e-24, 7.132489473308804e-24 
8.125, 49.625, 4.62555139778197e-24, 4.615991668513705e-24 
8.375, 49.625, 6.4789907640179544e-24, 6.465782985629827e-24 
8.625, 49.625, 5.618264520443731e-24, 5.6069696404484254e-24 
8.875, 49.625, 5.7804143290956256e-24, 5.7689563039361265e-24 
9.125, 49.625, 4.7082141602311725e-24, 4.699014108758518e-24 
9.375, 49.625, 2.69008731870871e-24, 2.6849065645264168e-24 
9.625, 49.625, 1.0673407842437684e-23, 1.065315299802201e-23 
9.875, 49.625, 1.35796244341474e-23, 1.355423712910846e-23 
10.125, 49.625, 1.6046777767890917e-23, 1.6017230275746392e-23 
10.375, 49.625, 8.372550366802682e-24, 8.357369647526012e-24 
10.625, 49.625, 9.196521259181135e-24, 9.179999939480565e-24 
10.875, 49.625, 1.208478366417705e-23, 1.2063414258379007e-23 
11.125, 49.625, 1.2946982017150172e-23, 1.2924452922907028e-23 
11.375, 49.625, 9.860317224910762e-24, 9.843437192333515e-24 
11.625, 49.625, 3.793063388649014e-24, 3.786686858500196e-24 
11.875, 49.625, 6.834551386867312e-24, 6.82348026738694e-24 
12.125, 49.625, 8.669657264726154e-24, 8.656030517807548e-24 
12.375, 49.625, 1.3520883312545718e-23, 1.3500281906894003e-23 
12.625, 49.625, 1.175176623139095e-23, 1.1734588278806292e-23 
12.875, 49.625, 1.712872324002894e-23, 1.7104849884271026e-23 
13.125, 49.625, 2.2218097953015444e-23, 2.2188573103982974e-23 
13.375, 49.625, 2.1501403955385464e-23, 2.1474226827947765e-23 
13.625, 49.625, 2.30660983443674e-23, 2.303821917091686e-23 
13.875, 49.625, 1.2339167425124484e-23, 1.2325054219939759e-23 
14.125, 49.625, 2.0350463384949958e-23, 2.0328507614084547e-23 
14.375, 49.625, 2.4756261519141296e-23, 2.473115879192275e-23 
14.625, 49.625, 1.8895236104113877e-23, 1.887751984478421e-23 
14.875, 49.625, 9.847749764259528e-24, 9.839155432820424e-24 
15.125, 49.625, 8.906191408132184e-24, 8.898996649235558e-24 
15.375, 49.625, 1.1372497069118251e-23, 1.1364047790177447e-23 
15.625, 49.625, 1.3357376088363197e-23, 1.334828989653284e-23 
15.875, 49.625, 8.99971129432424e-24, 8.994120769572737e-24 
16.125, 49.625, 5.41517353204319e-24, 5.412129433135481e-24 
16.375, 49.625, 6.86194689242766e-24, 6.858494666898778e-24 
16.625, 49.625, 9.245110947668917e-24, 9.241236030398386e-24 
16.875, 49.625, 1.1918466576157075e-23, 1.191417485884682e-23 
17.125, 49.625, 9.9907379050221e-24, 9.987656817400372e-24 
17.375, 49.625, 8.457871873706018e-24, 8.455690735332585e-24 
17.625, 49.625, 1.0514105153832978e-23, 1.0511924810539073e-23 
17.875, 49.625, 1.8834249336275772e-23, 1.8831294883533028e-23 
18.125, 49.625, 2.2277264472481343e-23, 2.227489503938185e-23 
18.375, 49.625, 2.1343910645442514e-23, 2.1342718408817602e-23 
18.625, 49.625, 1.5967896946977677e-23, 1.5967985815456187e-23 
18.875, 49.625, 2.0828201153128568e-23, 2.082864066412956e-23 
19.125, 49.625, 2.213636963675395e-23, 2.213718065646338e-23 
19.375, 49.625, 2.824422541038756e-23, 2.824569898392861e-23 
19.625, 49.625, 2.4014367734773268e-23, 2.4015993678301025e-23 
19.875, 49.625, 2.077998247416102e-23, 2.0781712222602563e-23 
20.125, 49.625, 1.9761573609858014e-23, 1.9763525549329615e-23 
20.375, 49.625, 2.1578544221798357e-23, 2.158101080744941e-23 
20.625, 49.625, 2.2950892498896032e-23, 2.2954092339278164e-23 
20.875, 49.625, 2.5883897292800504e-23, 2.5887154245725622e-23 
21.125, 49.625, 1.456415397832654e-23, 1.456578853078567e-23 
-10.375, 49.875, 8.388143112455207e-24, nan 
-10.125, 49.875, 1.358831753235954e-23, nan 
-9.875, 49.875, 1.3448714538955826e-23, nan 
-9.625, 49.875, 1.1624609647066977e-23, nan 
-9.375, 49.875, 1.388364728041554e-23, nan 
-9.125, 49.875, 1.586859540801889e-23, nan 
-8.875, 49.875, 2.263670658743111e-23, nan 
-8.625, 49.875, 2.32183254896465e-22, nan 
-8.375, 49.875, 3.103380140041928e-22, nan 
-8.125, 49.875, 2.094123516052995e-22, nan 
-7.875, 49.875, 1.4374100821574156e-22, nan 
-7.625, 49.875, 2.2801939217485234e-23, nan 
-7.375, 49.875, 1.4375529486336142e-23, nan 
-7.125, 49.875, 1.260702764330704e-23, nan 
-6.875, 49.875, 6.384940788586906e-24, nan 
-6.625, 49.875, 7.00142690528063e-24, nan 
-6.375, 49.875, 9.98703227736631e-24, nan 
-6.125, 49.875, 1.956516700083891e-23, nan 
-5.875, 49.875, 1.8221943662403024e-23, nan 
-5.625, 49.875, 1.0814996148405378e-23, nan 
-5.375, 49.875, 8.03664502855271e-24, nan 
-5.125, 49.875, 5.510553202764657e-24, nan 
-4.875, 49.875, 7.667754391748599e-24, nan 
-4.625, 49.875, 9.505733176866467e-24, nan 
-4.375, 49.875, 3.1774878587841376e-24, nan 
-4.125, 49.875, 6.3735924822626954e-24, nan 
-3.875, 49.875, 1.0476541985915335e-23, nan 
-3.625, 49.875, 1.1924201192856494e-23, nan 
-3.375, 49.875, 1.0264787365441748e-23, nan 
-3.125, 49.875, 5.768363334373611e-24, nan 
-2.875, 49.875, 6.956540833017292e-24, nan 
-2.625, 49.875, 8.75367971036123e-24, nan 
-2.375, 49.875, 6.163878219495195e-24, nan 
-2.125, 49.875, 9.273701962610133e-24, nan 
-1.875, 49.875, 5.186045237468536e-24, nan 
-1.625, 49.875, 5.317840894744665e-24, nan 
-1.375, 49.875, 1.0464650254370402e-23, nan 
-1.125, 49.875, 1.9612866343494373e-23, nan 
-0.875, 49.875, 2.116086871612662e-23, nan 
-0.625, 49.875, 9.499178362374399e-24, nan 
-0.375, 49.875, 9.760083330579202e-24, nan 
-0.125, 49.875, 8.616519238322746e-24, nan 
0.125, 49.875, 1.1719725795453437e-23, nan 
0.375, 49.875, 1.1050403569866742e-23, nan 
0.625, 49.875, 5.713337738288755e-24, nan 
0.875, 49.875, 6.658100287870174e-24, nan 
1.125, 49.875, 2.8138346949705966e-24, nan 
1.375, 49.875, 7.089148506314732e-24, nan 
1.625, 49.875, 7.710207989859681e-24, nan 
1.875, 49.875, 9.144945503871051e-24, nan 
2.125, 49.875, 5.095319085797063e-24, nan 
2.375, 49.875, 8.565854687549107e-24, nan 
2.625, 49.875, 1.5038806805491656e-23, nan 
2.875, 49.875, 1.791258142083301e-23, nan 
3.125, 49.875, 1.7332912644926208e-23, nan 
3.375, 49.875, 4.22821483647995e-23, nan 
3.625, 49.875, 3.561543798538137e-23, nan 
3.875, 49.875, 3.318090256251132e-23, nan 
4.125, 49.875, 2.713152013665689e-23, nan 
4.375, 49.875, 3.172183478511266e-23, nan 
4.625, 49.875, 3.133429673070239e-23, nan 
4.875, 49.875, 2.5034858068157561e-23, nan 
5.125, 49.875, 1.7627723200632106e-23, nan 
5.375, 49.875, 1.6556695376030818e-23, nan 
5.625, 49.875, 1.8064677832963975e-23, nan 
5.875, 49.875, 1.1642118003335708e-23, nan 
6.125, 49.875, 8.574042886586824e-24, nan 
6.375, 49.875, 5.68443444324535e-24, nan 
6.625, 49.875, 4.886812336437092e-24, nan 
6.875, 49.875, 8.110609593065831e-24, nan 
7.125, 49.875, 9.940962733312706e-24, nan 
7.375, 49.875, 1.5511872440362787e-23, nan 
7.625, 49.875, 1.7149206634970174e-23, nan 
7.875, 49.875, 1.5962048947873917e-23, nan 
8.125, 49.875, 1.0384133004242688e-23, nan 
8.375, 49.875, 6.945499024136188e-24, nan 
8.625, 49.875, 5.656285189125679e-24, nan 
8.875, 49.875, 6.4932003178413044e-24, nan 
9.125, 49.875, 4.686175269858372e-24, nan 
9.375, 49.875, 3.8201571827021924e-24, nan 
9.625, 49.875, 5.3456064258927964e-24, nan 
9.875, 49.875, 1.2817675948986336e-23, nan 
10.125, 49.875, 1.611074678958669e-23, nan 
10.375, 49.875, 1.2854566988513543e-23, nan 
10.625, 49.875, 1.1953211070980371e-23, nan 
10.875, 49.875, 1.3469443812198943e-23, nan 
11.125, 49.875, 1.0962616778998755e-23, nan 
11.375, 49.875, 1.1977641636404683e-23, nan 
11.625, 49.875, 1.2582453110675259e-23, nan 
11.875, 49.875, 1.6496649618673763e-23, nan 
12.125, 49.875, 1.3419892208280787e-23, nan 
12.375, 49.875, 1.517936396046981e-23, nan 
12.625, 49.875, 1.1814229549369884e-23, nan 
12.875, 49.875, 9.985637233345545e-24, nan 
13.125, 49.875, 8.901176597722962e-24, nan 
13.375, 49.875, 1.484037058180238e-23, nan 
