# lon_gridpoint [deg], lat_gridpoint [deg], P_R_modelGRS [W], P_R_modelFREND [W] 
-56.125, 48.125, 2.1655086489541218e-23, 2.1659009754783937e-23 
-55.875, 48.125, 1.5520086301193626e-23, 1.5525035041319015e-23 
-55.625, 48.125, 2.0737247966769317e-23, 2.0746715397989077e-23 
-55.375, 48.125, 2.1697724998094355e-23, 2.170999975889671e-23 
-55.125, 48.125, 2.841216543250913e-23, 2.843139849144827e-23 
-54.875, 48.125, 2.848580180901866e-23, 2.8508500730100134e-23 
-54.625, 48.125, 3.069592075984616e-23, 3.072406167496222e-23 
-54.375, 48.125, 9.532457249258173e-24, 9.542123851709717e-24 
-54.125, 48.125, 7.170367284899243e-24, 7.178296256735084e-24 
-53.875, 48.125, 1.3756676243605273e-23, 1.3772968328192445e-23 
-53.625, 48.125, 1.4426057685345292e-23, 1.444436156564025e-23 
-53.375, 48.125, 2.1123623806651842e-23, 2.1152101609878386e-23 
-53.125, 48.125, 2.60414249508719e-23, 2.6078652115431906e-23 
-52.875, 48.125, 3.3990168505738227e-23, 3.404144674651164e-23 
-52.625, 48.125, 1.9273447079476805e-23, 1.9303965321538712e-23 
-52.375, 48.125, 1.375751979494792e-23, 1.378006105357501e-23 
-52.125, 48.125, 1.4029096254636723e-23, 1.4052849595755606e-23 
-51.875, 48.125, 1.5320128767587696e-23, 1.5346905729941178e-23 
-51.625, 48.125, 2.4001588559915832e-23, 2.404485165303018e-23 
-51.375, 48.125, 4.0065169237580947e-23, 4.013847599294319e-23 
-51.125, 48.125, 3.432984824537899e-23, 3.4393523520832347e-23 
-50.875, 48.125, 3.000112654565304e-23, 3.0057526512817487e-23 
-50.625, 48.125, 1.403672226178246e-23, 1.4063462905257306e-23 
-50.375, 48.125, 1.6750242580137477e-23, 1.6782756014010472e-23 
-50.125, 48.125, 1.7560591823669757e-23, 1.7595257957584409e-23 
-49.875, 48.125, 1.8514242117587123e-23, 1.8551146485391367e-23 
-49.625, 48.125, 1.6810320037856377e-23, 1.6844150902978336e-23 
-49.375, 48.125, 4.722320696524478e-24, 4.731940618273731e-24 
-49.125, 48.125, 5.628526785951692e-24, 5.6401128637425826e-24 
-48.875, 48.125, 7.323598422722277e-24, 7.338727819417199e-24 
-48.625, 48.125, 7.091094238593888e-24, 7.105795689725617e-24 
-48.375, 48.125, 5.2866132516843446e-24, 5.297612648287628e-24 
-48.125, 48.125, 8.695466224773652e-24, 8.71362764603419e-24 
-47.875, 48.125, 1.7139084741347057e-23, 1.7175376368734407e-23 
-47.625, 48.125, 1.4483641081053456e-23, 1.4514796997982094e-23 
-57.125, 48.375, 1.6460021912096302e-23, 1.6453052430502585e-23 
-56.875, 48.375, 1.4172066084861236e-23, 1.4168496711305206e-23 
-56.625, 48.375, 1.1745779605779421e-23, 1.174478640686041e-23 
-56.375, 48.375, 2.2535488277338747e-23, 2.253670473341058e-23 
-56.125, 48.375, 2.3684673459675334e-23, 2.3689213465475332e-23 
-55.875, 48.375, 2.0266077679190865e-23, 2.0272752989326708e-23 
-55.625, 48.375, 2.1476516786388983e-23, 2.148654790250436e-23 
-55.375, 48.375, 2.628922999134561e-23, 2.6304379276492627e-23 
-55.125, 48.375, 2.6620678237554383e-23, 2.663889633469239e-23 
-54.875, 48.375, 1.5026248231637116e-23, 1.503820309565539e-23 
-54.625, 48.375, 1.0095804418467243e-23, 1.0105047330001002e-23 
-54.375, 48.375, 6.806135315469752e-24, 6.813028805980614e-24 
-54.125, 48.375, 1.0796658623710339e-23, 1.0808633097092272e-23 
-53.875, 48.375, 2.0565876431600468e-23, 2.0590571520093544e-23 
-53.625, 48.375, 1.7376609038622293e-23, 1.7398838718772965e-23 
-53.375, 48.375, 1.6680569893300788e-23, 1.670322675899849e-23 
-53.125, 48.375, 5.348031485022289e-23, 5.35569060126843e-23 
-52.875, 48.375, 5.889723325778238e-23, 5.898598885553668e-23 
-52.625, 48.375, 2.693445608085707e-23, 2.6977124252286986e-23 
-52.375, 48.375, 1.9648012099133582e-23, 1.9680240354685798e-23 
-52.125, 48.375, 7.604399032656655e-24, 7.617288216459665e-24 
-51.875, 48.375, 1.4982875363549305e-23, 1.50090901199321e-23 
-51.625, 48.375, 5.795699056459944e-23, 5.806156421415186e-23 
-51.375, 48.375, 8.484153929916855e-23, 8.49969275891157e-23 
-51.125, 48.375, 5.446423104613804e-23, 5.456535116093337e-23 
-50.875, 48.375, 3.397040112682413e-23, 3.4034325111120654e-23 
-50.625, 48.375, 2.057624434665967e-23, 2.0615480724970232e-23 
-50.375, 48.375, 2.4023161435130904e-23, 2.4069836111096175e-23 
-50.125, 48.375, 1.8841515991131222e-23, 1.8878819393367922e-23 
-49.875, 48.375, 1.0604231445839008e-23, 1.0625575972870702e-23 
-49.625, 48.375, 6.483130397932573e-24, 6.4963043906257624e-24 
-49.375, 48.375, 5.8767038130235234e-24, 5.888790166273961e-24 
-49.125, 48.375, 8.511497402405165e-24, 8.529216461506712e-24 
-48.875, 48.375, 7.934001355919829e-24, 7.950687219114588e-24 
-48.625, 48.375, 5.699746278546231e-24, 5.711775417533986e-24 
-48.375, 48.375, 2.490720625908855e-24, 2.4959956124112997e-24 
-48.125, 48.375, 1.9851373306152145e-24, 1.9893714101993265e-24 
-47.875, 48.375, 7.303841295871239e-24, 7.319665248280936e-24 
-47.625, 48.375, 4.767577784862659e-24, 4.7780672230176324e-24 
-47.375, 48.375, 1.511450243973208e-23, 1.514810486504764e-23 
-47.125, 48.375, 1.642475342150867e-23, 1.6461627046191934e-23 
-46.875, 48.375, 6.736769294245049e-24, 6.752040314535188e-24 
-46.625, 48.375, 6.807978820861607e-24, 6.823559771988914e-24 
-46.375, 48.375, 5.152359367545254e-24, 5.164209467620964e-24 
-46.125, 48.375, 5.060087482914869e-24, 5.0718105275343936e-24 
-45.875, 48.375, 6.43864466343318e-24, 6.453701977456064e-24 
-45.625, 48.375, 9.292789093061054e-24, 9.314723817465008e-24 
-45.375, 48.375, 9.289878467361907e-24, 9.311718844595519e-24 
-45.125, 48.375, 4.446157169606876e-24, 4.456564249093267e-24 
-44.875, 48.375, 4.2567449293437464e-24, 4.266675649029737e-24 
-44.625, 48.375, 6.511190723171882e-24, 6.526330437154667e-24 
-44.375, 48.375, 2.1041502815703705e-23, 2.1089939469429658e-23 
-44.125, 48.375, 1.179699676829207e-23, 1.1823852124078555e-23 
-43.875, 48.375, 1.959989973489188e-24, 1.9644018218743425e-24 
-43.625, 48.375, 6.773953975347608e-24, 6.789029075501027e-24 
-57.875, 48.625, 1.4722551779726698e-23, 1.4708493483150918e-23 
-57.625, 48.625, 2.196687093518548e-23, 2.195005337109728e-23 
-57.375, 48.625, 3.7796841902858635e-23, 3.777446258438221e-23 
-57.125, 48.625, 3.4443847498825396e-23, 3.442942089288516e-23 
-56.875, 48.625, 2.876876182604963e-23, 2.8761696083924983e-23 
-56.625, 48.625, 1.1751065777819263e-23, 1.1750195511394029e-23 
-56.375, 48.625, 9.812944096527695e-24, 9.813576907384212e-24 
-56.125, 48.625, 8.018634467695779e-23, 8.020255847428762e-23 
-55.875, 48.625, 1.1922073030279124e-22, 1.1926125436154539e-22 
-55.625, 48.625, 2.1801773243508144e-23, 2.181218590983488e-23 
