# lon_gridpoint [deg], lat_gridpoint [deg], P_R_modelGRS [W], P_R_modelFREND [W] 
120.625, 47.875, 4.995866870571093e-24, 4.973757085365466e-24 
120.875, 47.875, 1.2659130649216637e-23, 1.2601094362598942e-23 
121.125, 47.875, 1.2372694493048874e-23, 1.2314045018362777e-23 
121.375, 47.875, 2.226229633191637e-24, 2.2153354733694024e-24 
121.625, 47.875, 1.2224135140132098e-24, 1.2162441546035144e-24 
121.875, 47.875, 2.0842117424274892e-24, 2.073442631101239e-24 
122.125, 47.875, 1.7612334647883568e-24, 1.751991638429105e-24 
122.375, 47.875, 1.5289714911526077e-24, 1.5208274471306776e-24 
122.625, 47.875, 3.883033309412111e-24, 3.8620431342113205e-24 
122.875, 47.875, 5.698361639114748e-24, 5.666983619277609e-24 
123.125, 47.875, 5.313919676655767e-24, 5.283995364882366e-24 
123.375, 47.875, 3.4396042973126695e-24, 3.4198055198950526e-24 
123.625, 47.875, 5.9985852863257064e-24, 5.9633488195917944e-24 
123.875, 47.875, 8.291439280905604e-24, 8.242030719089903e-24 
124.125, 47.875, 8.119854989755913e-24, 8.07077985735478e-24 
124.375, 47.875, 9.69575293652838e-24, 9.636517165951603e-24 
113.625, 48.125, 6.449186034461813e-24, 6.445302149293787e-24 
113.875, 48.125, 3.202436630179007e-24, 3.200367895427296e-24 
114.125, 48.125, 6.397750519879248e-24, 6.393134546784351e-24 
114.375, 48.125, 2.138153072164047e-23, 2.1364123858477576e-23 
114.625, 48.125, 5.103624618925529e-24, 5.0989754138523635e-24 
114.875, 48.125, 3.272981685399848e-24, 3.26966813961869e-24 
115.125, 48.125, 9.540301045477278e-24, 9.529567843299047e-24 
115.375, 48.125, 1.1222246167037348e-23, 1.120834142062173e-23 
115.625, 48.125, 1.0876678872584658e-23, 1.0861914856773752e-23 
115.875, 48.125, 4.717877939490209e-24, 4.710829092590741e-24 
116.125, 48.125, 5.5921517686418486e-24, 5.582943355535288e-24 
116.375, 48.125, 5.513819731562828e-24, 5.5039273461293234e-24 
116.625, 48.125, 2.0512557040034923e-23, 2.0473092304606454e-23 
116.875, 48.125, 2.384083512370802e-23, 2.3790869684710098e-23 
117.125, 48.125, 2.9267255759131134e-23, 2.919978076382787e-23 
117.375, 48.125, 2.2836991032111066e-23, 2.2780304828869648e-23 
117.625, 48.125, 9.037782613612081e-24, 9.0138142268024e-24 
117.875, 48.125, 1.0334742658781904e-23, 1.0305701716570433e-23 
118.125, 48.125, 1.1233012445990467e-23, 1.1199795723081709e-23 
118.375, 48.125, 1.3484414136514862e-23, 1.3442427732451423e-23 
118.625, 48.125, 7.740532167687281e-24, 7.714938849792015e-24 
118.875, 48.125, 6.5751945621694805e-24, 6.552263593652604e-24 
119.125, 48.125, 8.405503874562086e-25, 8.374757608449142e-25 
119.375, 48.125, 5.554927112207881e-24, 5.5337289773026055e-24 
119.625, 48.125, 1.0575741713391061e-23, 1.053374467566924e-23 
119.875, 48.125, 1.1875752694793504e-23, 1.1826706656507224e-23 
120.125, 48.125, 1.1924021757197345e-23, 1.1872880532297219e-23 
120.375, 48.125, 9.897829120367286e-24, 9.853849562576347e-24 
120.625, 48.125, 4.9887586845593844e-24, 4.9658270760382426e-24 
120.875, 48.125, 1.0738239120479853e-23, 1.0687172404785486e-23 
121.125, 48.125, 1.2826611788376233e-23, 1.2763500626400392e-23 
121.375, 48.125, 8.231395195545827e-24, 8.189612437729275e-24 
121.625, 48.125, 4.5856963320246005e-24, 4.561716080217084e-24 
121.875, 48.125, 6.7091917570205e-24, 6.673300951895233e-24 
122.125, 48.125, 5.437914249432354e-24, 5.4083627900486046e-24 
122.375, 48.125, 2.902291490117629e-24, 2.886286218093426e-24 
122.625, 48.125, 3.0239278095323303e-24, 3.007012447598117e-24 
122.875, 48.125, 5.759503501694322e-24, 5.7267046633197536e-24 
123.125, 48.125, 5.047120901064687e-24, 5.0177489074840034e-24 
123.375, 48.125, 3.416120156883506e-24, 3.395836421093582e-24 
123.625, 48.125, 5.542461781324346e-24, 5.509082233038553e-24 
123.875, 48.125, 9.110178316946152e-24, 9.054539030661088e-24 
124.125, 48.125, 8.305890569863714e-24, 8.254458481744273e-24 
124.375, 48.125, 1.1190183685844255e-23, 1.1120157035625592e-23 
124.625, 48.125, 1.1672124746246583e-23, 1.1598329580224174e-23 
124.875, 48.125, 1.0573134913130807e-23, 1.0505780471568571e-23 
125.125, 48.125, 2.072801368903973e-23, 2.0595289291356658e-23 
125.375, 48.125, 1.4328325513672398e-23, 1.4236096781176554e-23 
