# lon_gridpoint [deg], lat_gridpoint [deg], P_R_modelGRS [W], P_R_modelFREND [W] 
115.375, 52.375, 4.801742973899612e-24, nan 
115.625, 52.375, 6.4627452110077675e-24, nan 
115.875, 52.375, 8.56549603014819e-24, nan 
116.125, 52.375, 7.933592464351304e-24, nan 
116.375, 52.375, 6.763502582018801e-24, nan 
116.625, 52.375, 1.1523612828325579e-23, nan 
116.875, 52.375, 1.1319999287965205e-23, nan 
117.125, 52.375, 1.273153260296925e-23, nan 
117.375, 52.375, 1.1690934428785173e-23, nan 
117.625, 52.375, 4.206123143967402e-24, nan 
117.875, 52.375, 4.419313206296167e-24, nan 
118.125, 52.375, 5.0523761703569234e-24, nan 
118.375, 52.375, 4.925444229331437e-24, nan 
118.625, 52.375, 3.2387691355501013e-24, nan 
118.875, 52.375, 1.0843069565013544e-23, nan 
119.125, 52.375, 1.196738858668952e-23, nan 
119.375, 52.375, 5.573900004708056e-24, nan 
119.625, 52.375, 3.298010758139955e-24, nan 
119.875, 52.375, 3.3608937127463555e-24, nan 
120.125, 52.375, 2.2592315025780004e-24, nan 
120.375, 52.375, 1.9805028468762568e-24, nan 
120.625, 52.375, 6.747970962185296e-24, nan 
120.875, 52.375, 7.375082802417038e-24, nan 
121.125, 52.375, 3.957591544657154e-24, nan 
121.375, 52.375, 1.5070069574912196e-23, nan 
121.625, 52.375, 1.7163880802242147e-23, nan 
121.875, 52.375, 2.9272318483389905e-24, nan 
122.125, 52.375, 4.799587572921991e-24, nan 
122.375, 52.375, 5.5052298586534075e-24, nan 
122.625, 52.375, 5.922281276309653e-24, nan 
122.875, 52.375, 7.524811403778889e-24, nan 
123.125, 52.375, 7.91869124871793e-24, nan 
123.375, 52.375, 1.042607598477337e-23, nan 
123.625, 52.375, 8.91739461675293e-24, nan 
123.875, 52.375, 4.778463315022724e-24, nan 
124.125, 52.375, 8.142756441613225e-24, nan 
124.375, 52.375, 9.107223324790814e-24, nan 
124.625, 52.375, 5.614079442979452e-24, nan 
124.875, 52.375, 4.9290243218507976e-24, nan 
125.125, 52.375, 8.12117600342872e-24, nan 
125.375, 52.375, 1.2774808083340877e-23, nan 
125.625, 52.375, 1.2737131949855012e-23, nan 
125.875, 52.375, 1.2293198932027605e-23, nan 
126.125, 52.375, 8.853711372353584e-24, nan 
126.375, 52.375, 5.119379214006397e-24, nan 
126.625, 52.375, 3.205370768042246e-24, nan 
126.875, 52.375, 8.304042439638676e-24, nan 
127.125, 52.375, 1.3195162639635713e-23, nan 
127.375, 52.375, 1.338336423811651e-23, nan 
127.625, 52.375, 4.678343682760788e-24, nan 
127.875, 52.375, 6.977850384434872e-24, nan 
128.125, 52.375, 7.173195557258942e-24, nan 
128.375, 52.375, 4.72638329725072e-24, nan 
128.625, 52.375, 8.947842304287009e-24, nan 
128.875, 52.375, 9.636333124234862e-24, nan 
129.125, 52.375, 1.0463504998141134e-23, nan 
129.375, 52.375, 9.259331076888465e-24, nan 
129.625, 52.375, 1.326393133340598e-23, nan 
129.875, 52.375, 9.159505230526506e-24, nan 
130.125, 52.375, 1.0548691975394907e-23, nan 
130.375, 52.375, 1.3253559590405864e-23, nan 
130.625, 52.375, 1.6436285355402867e-23, nan 
130.875, 52.375, 5.220038183342579e-23, nan 
131.125, 52.375, 4.7631836359161914e-23, nan 
131.375, 52.375, 5.008058608488886e-24, nan 
131.625, 52.375, 1.789484965643806e-23, nan 
131.875, 52.375, 2.0317853573932894e-23, nan 
132.125, 52.375, 7.290185852301262e-24, nan 
132.375, 52.375, 4.5634739087109324e-24, nan 
132.625, 52.375, 5.556527260011975e-24, nan 
132.875, 52.375, 9.280937796177326e-24, nan 
133.125, 52.375, 7.374519162657786e-24, nan 
133.375, 52.375, 3.947514461123124e-24, nan 
133.625, 52.375, 3.606444644977972e-24, nan 
133.875, 52.375, 5.204906441657531e-24, nan 
134.125, 52.375, 4.2767143131758774e-24, nan 
134.375, 52.375, 7.008300397290322e-24, nan 
134.625, 52.375, 1.32815530029956e-23, nan 
134.875, 52.375, 1.8173907229654815e-23, nan 
135.125, 52.375, 2.106686059180948e-23, nan 
135.375, 52.375, 1.2043470364013688e-23, nan 
135.625, 52.375, 5.8626055443674594e-24, nan 
135.875, 52.375, 3.755370706080177e-24, nan 
136.125, 52.375, 1.758470307392646e-24, nan 
136.375, 52.375, 1.73596207677142e-24, nan 
136.625, 52.375, 5.205041559357611e-24, nan 
136.875, 52.375, 9.76929195702472e-24, nan 
137.125, 52.375, 1.1042161285817366e-23, nan 
137.375, 52.375, 7.845482718087893e-24, nan 
137.625, 52.375, 9.347058960855158e-24, nan 
137.875, 52.375, 8.949157312418864e-24, nan 
138.125, 52.375, 8.974318653838637e-24, nan 
138.375, 52.375, 7.051301204256315e-24, nan 
138.625, 52.375, 6.940012449020861e-24, nan 
138.875, 52.375, 7.855708164900826e-24, nan 
139.125, 52.375, 1.6425969194040743e-23, nan 
139.375, 52.375, 1.7329111353515697e-23, nan 
111.875, 52.625, 5.520215885417084e-24, nan 
112.125, 52.625, 3.2886110524012713e-24, nan 
112.375, 52.625, 3.573335033037599e-24, nan 
112.625, 52.625, 6.039805509461082e-24, nan 
112.875, 52.625, 6.626795684209368e-24, nan 
113.125, 52.625, 5.163686581090266e-24, nan 
113.375, 52.625, 5.717941708201587e-24, nan 
113.625, 52.625, 8.988794475939026e-24, nan 
113.875, 52.625, 6.388448101804473e-24, nan 
114.125, 52.625, 5.9638024171602745e-24, nan 
114.375, 52.625, 5.890603295766739e-24, nan 
114.625, 52.625, 5.478873385650933e-24, nan 
114.875, 52.625, 6.830665144451693e-24, nan 
115.125, 52.625, 1.3574408073305933e-23, nan 
115.375, 52.625, 9.202923619496998e-24, nan 
115.625, 52.625, 7.024207036557913e-24, nan 
115.875, 52.625, 7.604372746489423e-24, nan 
116.125, 52.625, 5.114160206755894e-24, nan 
116.375, 52.625, 6.306607790450177e-24, nan 
116.625, 52.625, 7.849082979281101e-24, nan 
116.875, 52.625, 6.010733571204151e-24, nan 
117.125, 52.625, 9.955268477547118e-24, nan 
117.375, 52.625, 1.1363378720854899e-23, nan 
117.625, 52.625, 5.3253187083531105e-24, nan 
117.875, 52.625, 4.613196712861526e-24, nan 
118.125, 52.625, 4.262029240459029e-24, nan 
118.375, 52.625, 2.5846355609384052e-24, nan 
118.625, 52.625, 3.4998588761279194e-24, nan 
118.875, 52.625, 9.06000308759641e-24, nan 
119.125, 52.625, 1.304639366582142e-23, nan 
119.375, 52.625, 9.735908128411174e-24, nan 
119.625, 52.625, 3.0277729057367065e-24, nan 
119.875, 52.625, 2.3101130084902892e-24, nan 
120.125, 52.625, 2.1187423420975212e-24, nan 
120.375, 52.625, 2.5965226012240294e-24, nan 
120.625, 52.625, 5.021502454150712e-24, nan 
120.875, 52.625, 5.4914554396821674e-24, nan 
121.125, 52.625, 5.861325066859466e-24, nan 
121.375, 52.625, 5.129411217217948e-24, nan 
121.625, 52.625, 1.8038899096230726e-23, nan 
121.875, 52.625, 1.763975082582242e-23, nan 
122.125, 52.625, 5.601945223974361e-24, nan 
122.375, 52.625, 5.1549370482393024e-24, nan 
122.625, 52.625, 4.4318307525687376e-24, nan 
122.875, 52.625, 3.5941165654699546e-24, nan 
123.125, 52.625, 4.984220614845146e-24, nan 
123.375, 52.625, 1.1404799749560836e-23, nan 
123.625, 52.625, 1.0194535791614353e-23, nan 
123.875, 52.625, 3.4770683563123295e-24, nan 
124.125, 52.625, 5.448662969278713e-24, nan 
124.375, 52.625, 1.1538372075959224e-23, nan 
124.625, 52.625, 1.1083230296741606e-23, nan 
124.875, 52.625, 1.329877106132494e-23, nan 
125.125, 52.625, 1.6995715808972798e-23, nan 
125.375, 52.625, 1.888110907887421e-23, nan 
125.625, 52.625, 1.4992357910975783e-23, nan 
125.875, 52.625, 7.495780231947488e-24, nan 
126.125, 52.625, 1.0652387449594823e-23, nan 
126.375, 52.625, 1.3529269180861537e-23, nan 
126.625, 52.625, 1.206998542112518e-23, nan 
126.875, 52.625, 7.880314765907903e-24, nan 
127.125, 52.625, 5.1654079004615124e-24, nan 
127.375, 52.625, 6.926171184082963e-24, nan 
127.625, 52.625, 5.400939634251852e-24, nan 
127.875, 52.625, 4.760467845158595e-24, nan 
128.125, 52.625, 6.714019766837023e-24, nan 
128.375, 52.625, 1.262932620808541e-23, nan 
128.625, 52.625, 1.3070332531641641e-23, nan 
128.875, 52.625, 9.344759155612406e-24, nan 
129.125, 52.625, 1.4192772571923174e-23, nan 
129.375, 52.625, 1.027819614595223e-23, nan 
129.625, 52.625, 8.261017473453687e-24, nan 
