# lon_gridpoint [deg], lat_gridpoint [deg], P_R_modelGRS [W], P_R_modelFREND [W] 
33.875, 29.875, 4.5788185098736833e-23, 4.5331067598565576e-23 
34.125, 29.875, 2.3072281690000916e-23, 2.2835685121370783e-23 
34.375, 29.875, 9.088717707428255e-24, 8.993051328403586e-24 
33.375, 30.125, 3.7710586422722835e-23, 3.734865384837761e-23 
33.625, 30.125, 3.287119540875474e-23, 3.254717046361649e-23 
33.875, 30.125, 1.5787040749682442e-23, 1.5627138897716477e-23 
34.125, 30.125, 1.2644292974395685e-23, 1.2512793238344624e-23 
34.375, 30.125, 1.5218685163995335e-23, 1.505628409638308e-23 
34.625, 30.125, 1.5169125468847727e-23, 1.5003115406427567e-23 
34.875, 30.125, 9.658303545903489e-24, 9.549912990362112e-24 
32.625, 30.375, 1.2727285805705061e-23, 1.2610562284011829e-23 
32.875, 30.375, 2.892930467188304e-23, 2.8658810167615025e-23 
33.125, 30.375, 3.5083964106168093e-23, 3.4749344239718676e-23 
33.375, 30.375, 2.861451373877393e-23, 2.833572152128003e-23 
33.625, 30.375, 2.0526003715937994e-23, 2.0320686479198614e-23 
33.875, 30.375, 9.122429574891658e-24, 9.028705476801879e-24 
34.125, 30.375, 1.2003373719128052e-23, 1.1876795088733161e-23 
34.375, 30.375, 1.6119872753699242e-23, 1.5945512702752763e-23 
34.625, 30.375, 1.3703280013284883e-23, 1.355132128075855e-23 
34.875, 30.375, 2.613978288190795e-23, 2.5843022276279517e-23 
35.125, 30.375, 1.0320657579327125e-22, 1.0201375383272578e-22 
35.375, 30.375, 1.1416892462236094e-22, 1.1282602598234408e-22 
31.875, 30.625, 1.317347977409989e-23, 1.3049411728789717e-23 
32.125, 30.625, 1.4942169332638235e-23, 1.480185414673276e-23 
32.375, 30.625, 1.8881143927264137e-23, 1.870435814428303e-23 
32.625, 30.625, 1.9211498787088652e-23, 1.9031241206733522e-23 
32.875, 30.625, 3.239606924455836e-23, 3.208630304018907e-23 
33.125, 30.625, 4.963509204965009e-23, 4.9151183527023015e-23 
33.375, 30.625, 4.1621409686006335e-23, 4.120771609982935e-23 
33.625, 30.625, 1.000869422497942e-23, 9.907124599947877e-24 
33.875, 30.625, 1.8265126397141028e-23, 1.807481551939353e-23 
34.125, 30.625, 1.974882502601099e-23, 1.953769902745517e-23 
34.375, 30.625, 1.7909110801000493e-23, 1.771279564880646e-23 
34.625, 30.625, 4.523877314301604e-23, 4.473120813440789e-23 
34.875, 30.625, 9.52490218073179e-23, 9.416085242294459e-23 
35.125, 30.625, 1.0384799596547762e-22, 1.026403236628193e-22 
35.375, 30.625, 3.043252760242512e-23, 3.007238972206937e-23 
35.625, 30.625, 1.4381369555656731e-22, 1.4208032545063638e-22 
35.875, 30.625, 1.4579243391202318e-22, 1.4398997425720102e-22 
31.375, 30.875, 8.606007487957483e-23, 8.520186085493767e-23 
31.625, 30.875, 9.703313161254057e-24, 9.607416950293702e-24 
31.875, 30.875, 1.9093120842511524e-23, 1.890495164247652e-23 
32.125, 30.875, 2.0817753158159966e-23, 2.0613159372058335e-23 
32.375, 30.875, 2.0325068497571927e-23, 2.0126230230639102e-23 
32.625, 30.875, 2.2960479481879694e-23, 2.273684448916809e-23 
32.875, 30.875, 2.165787014480543e-23, 2.144304511421913e-23 
33.125, 30.875, 3.505124090208047e-23, 3.469699607305427e-23 
33.375, 30.875, 3.2975732184065206e-23, 3.26371505319532e-23 
33.625, 30.875, 7.874566900634971e-24, 7.793192810403872e-24 
33.875, 30.875, 1.5757051345226612e-23, 1.559173004648237e-23 
34.125, 30.875, 1.7303675858258857e-23, 1.7117435155834415e-23 
34.375, 30.875, 1.4944222339435326e-23, 1.4779324278148735e-23 
34.625, 30.875, 2.9032803382295874e-23, 2.87049843656029e-23 
34.875, 30.875, 1.2688554155335215e-22, 1.2542685391217183e-22 
35.125, 30.875, 1.4302651690571296e-22, 1.4135298740771623e-22 
35.375, 30.875, 1.0024380875505337e-22, 9.905034984798497e-23 
35.625, 30.875, 1.052082459272687e-22, 1.039292685583241e-22 
35.875, 30.875, 1.0672349503452881e-22, 1.0539252097012707e-22 
36.125, 30.875, 9.795428030671502e-23, 9.670185592023628e-23 
30.625, 31.125, 1.7061556650672913e-23, 1.6878207685614874e-23 
30.875, 31.125, 1.36740249990963e-23, 1.3528601697623368e-23 
31.125, 31.125, 7.344870373940215e-23, 7.26759613173093e-23 
31.375, 31.125, 1.1650766100641136e-23, 1.1529456487497397e-23 
31.625, 31.125, 1.0270433738328069e-23, 1.0164415146951838e-23 
31.875, 31.125, 1.47311590466362e-23, 1.4579499046692818e-23 
32.125, 31.125, 1.1183806507033642e-23, 1.1069168201189642e-23 
32.375, 31.125, 2.5898941190727808e-23, 2.5636280890764886e-23 
32.625, 31.125, 2.6420060578297616e-23, 2.6153249405677503e-23 
32.875, 31.125, 1.8831156972543897e-23, 1.8637613642493995e-23 
33.125, 31.125, 3.675182994827073e-23, 3.636826685053454e-23 
33.375, 31.125, 3.434594426762135e-23, 3.39857749095532e-23 
33.625, 31.125, 9.893906518143314e-24, 9.789499218560907e-24 
33.875, 31.125, 4.28322314289351e-23, 4.2374938866064276e-23 
34.125, 31.125, 2.869489127758079e-23, 2.8383989328961985e-23 
34.375, 31.125, 1.626014058471386e-23, 1.6079557279320337e-23 
